Nick,Cousins,21,,8476393,1993-07-20,FLA,63,2,3,5,37
Jonah,Gadjovich,12,,8479981,1998-10-12,FLA,17,0,2,2,17
William,Lockwood,67,,8479367,1998-06-20,FLA,18,0,1,1,23
Ryan,Lomberg,94,,8479066,1994-12-09,FLA,49,2,1,3,45
Steven,Lorentz,18,,8478904,1996-04-13,FLA,22,1,2,3,27
Anton,Lundell,15,,8482113,2001-10-03,FLA,86,3,13,16,41
Eetu,Luostarinen,27,,8480185,1998-09-02,FLA,66,8,4,12,45
Sam,Reinhart,13,,8477933,1995-11-06,FLA,123,33,24,57,45
Evan,Rodrigues,17,,8478542,1993-07-28,FLA,98,7,20,27,45
Mackie,Samoskevich,25,,8482713,2002-11-15,FLA,5,0,0,0,3
Kevin,Stenlund,82,,8478831,1996-09-20,FLA,44,8,2,10,45
Matthew,Tkachuk,19,,8479314,1997-12-11,FLA,166,12,31,43,45
Carter,Verhaeghe,23,,8477409,1995-08-14,FLA,148,23,21,44,45
Aaron,Ekblad,5,,8477932,1996-02-07,FLA,54,2,11,13,28
Oliver,Ekman-Larsson,91,,8475171,1991-07-17,FLA,71,8,14,22,45
Gustav,Forsling,42,,8478055,1996-06-12,FLA,102,7,12,19,45
Dmitry,Kulikov,7,,8475179,1990-10-29,FLA,41,0,11,11,41
Josh,Mahura,28,,8479372,1998-05-05,FLA,15,0,5,5,18
Niko,Mikkola,77,,8478859,1996-04-27,FLA,54,3,10,13,45
Brandon,Montour,62,,8477986,1994-04-11,FLA,72,1,8,9,29
Cam,Atkinson,89,,8474715,1989-06-05,PHI,143,12,14,26,46
Noah,Cates,27,,8480220,1999-02-05,PHI,28,1,4,5,25
Sean,Couturier,14,,8476461,1992-12-07,PHI,124,10,20,30,43
Nicolas,Deslauriers,44,,8475235,1991-02-22,PHI,40,0,3,3,43
Joel,Farabee,86,,8480797,2000-02-25,PHI,110,17,22,39,47
Tyson,Foerster,71,,8482159,2002-01-18,PHI,96,7,11,18,46
Morgan,Frost,48,,8480028,1999-05-14,PHI,69,7,13,20,36
Garnet,Hathaway,19,,8477903,1991-11-23,PHI,44,4,2,6,47
Travis,Konecny,11,,8478439,1997-03-11,PHI,156,22,20,42,47
Scott,Laughton,21,,8476872,1994-05-30,PHI,106,5,15,20,47
Ryan,Poehling,25,,8480068,1999-01-03,PHI,52,5,9,14,42
Owen,Tippett,74,,8480015,1999-02-16,PHI,167,18,12,30,46
Jamie,Drysdale,9,,8482142,2002-04-08,PHI,29,1,6,7,15
Ryan,Ellis,94,,8475176,1991-01-03,PHI,6,1,4,5,4
Rasmus,Ristolainen,55,,8477499,1994-10-27,PHI,42,1,3,4,27
Travis,Sanheim,6,,8477948,1996-03-29,PHI,85,4,22,26,46
Nick,Seeler,24,,8476372,1993-06-03,PHI,58,0,7,7,47
Marc,Staal,18,,8471686,1987-01-13,PHI,7,1,1,2,17
Sean,Walker,26,,8480336,1994-11-13,PHI,81,5,11,16,47
Cam,York,8,,8481546,2001-01-05,PHI,67,5,11,16,47
Egor,Zamula,5,,8481178,2000-03-30,PHI,37,5,10,15,38
Sebastian,Aho,20,,8478427,1997-07-26,CAR,128,16,35,51,42
Michael,Bunting,58,,8478047,1995-09-17,CAR,74,10,20,30,44
Jack,Drury,18,,8480835,2000-02-03,CAR,57,8,12,20,45
Jesper,Fast,71,,8475855,1991-12-02,CAR,48,4,7,11,42
Seth,Jarvis,24,,8482093,2002-02-01,CAR,108,15,19,34,45
Jesperi,Kotkaniemi,82,,8480829,2000-07-06,CAR,89,9,9,18,45
Brendan,Lemieux,28,,8477962,1996-03-15,CAR,12,2,1,3,18
Jordan,Martinook,48,,8476921,1992-07-25,CAR,89,6,9,15,45
Martin,Necas,88,,8480039,1999-01-15,CAR,100,11,18,29,40
Stefan,Noesen,23,,8476474,1993-02-12,CAR,57,11,16,27,44
Jordan,Staal,11,,8473533,1988-09-10,CAR,72,5,9,14,45
Andrei,Svechnikov,37,,8480830,2000-03-26,CAR,71,11,19,30,29
Teuvo,Teravainen,86,,8476882,1994-09-11,CAR,84,14,11,25,45
Brent,Burns,8,,8470613,1985-03-09,CAR,112,8,18,26,45
Jalen,Chatfield,5,,8478970,1996-05-15,CAR,54,4,8,12,40
Tony,DeAngelo,77,,8477950,1995-10-24,CAR,33,2,7,9,21
Dmitry,Orlov,7,,8475200,1991-07-23,CAR,72,2,14,16,45
Brett,Pesce,22,,8477488,1994-11-15,CAR,54,3,4,7,37
Brady,Skjei,76,,8476869,1994-03-26,CAR,97,7,18,25,45
Jaccob,Slavin,74,,8476958,1994-05-01,CAR,90,4,15,19,45
Tyler,Bertuzzi,59,,8477479,1995-02-24,TOR,84,6,14,20,45
Max,Domi,11,,8477503,1995-03-02,TOR,63,4,20,24,45
Noah,Gregor,18,,8479393,1998-07-28,TOR,73,5,4,9,44
Pontus,Holmberg,29,,8480995,1999-03-09,TOR,23,2,6,8,19
Calle,Jarnkrok,19,,8475714,1991-09-25,TOR,84,10,9,19,45
David,Kampf,64,,8480144,1995-01-12,TOR,45,4,4,8,44
Matthew,Knies,23,,8482720,2002-10-17,TOR,56,8,9,17,43
Mitchell,Marner,16,,8478483,1997-05-05,TOR,115,20,31,51,45
Auston,Matthews,34,,8479318,1997-09-17,TOR,192,38,18,56,44
Bobby,McMann,74,,8482259,1996-06-15,TOR,33,2,5,7,22
William,Nylander,88,,8477939,1996-05-01,TOR,191,23,38,61,45
Ryan,Reaves,75,,8471817,1987-01-20,TOR,10,1,0,1,21
Nicholas,Robertson,89,,8481582,2001-09-11,TOR,40,7,6,13,27
John,Tavares,91,,8475166,1990-09-20,TOR,163,12,22,34,45
Simon,Benoit,2,,8481122,1998-09-19,TOR,30,0,1,1,31
TJ,Brodie,78,,8474673,1990-06-07,TOR,25,0,11,11,44
Mark,Giordano,55,,8470966,1983-10-03,TOR,40,1,5,6,31
John,Klingberg,3,,8475906,1992-08-14,TOR,14,0,5,5,14
William,Lagesson,85,,8478021,1996-02-22,TOR,9,0,3,3,21
Timothy,Liljegren,37,,8480043,1999-04-30,TOR,28,2,7,9,28
Jake,McCabe,22,,8476931,1993-10-12,TOR,42,4,13,17,39
Jake,Muzzin,8,,8474162,1989-02-21,TOR,8,0,1,1,4
Morgan,Rielly,44,,8476853,1994-03-09,TOR,119,7,30,37,45
Conor,Timmins,25,,8479982,1998-09-18,TOR,13,1,5,6,15
Connor,Brown,28,,8477015,1994-01-14,EDM,63,0,3,3,35
Leon,Draisaitl,29,,8477934,1995-10-27,EDM,122,22,28,50,42
Adam,Erne,21,,8477454,1995-04-20,EDM,13,1,1,2,23
Warren,Foegele,37,,8477998,1996-04-01,EDM,105,9,15,24,42
Sam,Gagner,89,,8474040,1989-08-10,EDM,41,5,5,10,20
Dylan,Holloway,55,,8482077,2001-09-23,EDM,23,1,1,2,15
Zach,Hyman,18,,8475786,1992-06-09,EDM,155,28,17,45,41
Mattias,Janmark,13,,8477406,1992-12-08,EDM,34,1,5,6,32
Evander,Kane,91,,8475169,1991-08-02,EDM,126,14,13,27,41
Connor,McDavid,97,,8478402,1997-01-13,EDM,127,16,43,59,40
Ryan,McLeod,71,,8480802,1999-09-21,EDM,59,9,10,19,41
Ryan,Nugent-Hopkins,93,,8476454,1993-04-12,EDM,104,11,29,40,42
Derek,Ryan,10,,8478585,1986-12-29,EDM,31,4,5,9,42
Evan,Bouchard,2,,8480803,1999-10-20,EDM,117,11,31,42,42
Cody,Ceci,5,,8476879,1993-12-21,EDM,47,0,12,12,42
Vincent,Desharnais,73,,8479576,1996-05-29,EDM,22,1,5,6,40
Mattias,Ekholm,14,,8475218,1990-05-24,EDM,92,4,14,18,41
Philip,Kemp,76,,8480274,1999-02-12,EDM,0,0,0,0,1
Brett,Kulak,27,,8476967,1994-01-06,EDM,43,2,2,4,42
Darnell,Nurse,25,,8477498,1995-02-04,EDM,91,6,10,16,42
J.T.,Compher,37,,8477456,1995-04-08,DET,54,10,16,26,41
Andrew,Copp,18,,8477429,1994-07-08,DET,75,8,14,22,45
Alex,DeBrincat,93,,8479337,1997-12-18,DET,133,17,23,40,46
Robby,Fabbri,14,,8477952,1996-01-22,DET,43,13,7,20,34
Christian,Fischer,36,,8478432,1997-04-15,DET,47,2,7,9,43
Patrick,Kane,88,,8474141,1988-11-19,DET,63,7,9,16,19
Klim,Kostin,24,,8480011,1999-05-05,DET,20,3,1,4,26
Dylan,Larkin,71,,8477946,1996-07-30,DET,136,18,23,41,40
David,Perron,57,,8474102,1988-05-28,DET,70,9,12,21,40
Michael,Rasmussen,27,,8479992,1999-04-17,DET,64,10,10,20,46
Lucas,Raymond,23,,8482078,2002-03-28,DET,84,13,22,35,46
Daniel,Sprong,17,,8478466,1997-03-17,DET,111,12,18,30,46
Joe,Veleno,90,,8480813,2000-01-13,DET,53,8,10,18,44
Ben,Chiarot,8,,8475279,1991-05-09,DET,62,3,9,12,45
Shayne,Gostisbehere,41,,8476906,1993-04-20,DET,78,7,24,31,45
Justin,Holl,3,,8475718,1992-01-30,DET,10,0,5,5,31
Olli,Maatta,2,,8476874,1994-08-22,DET,22,2,9,11,38
Jeff,Petry,46,,8473507,1987-12-09,DET,45,2,11,13,37
Moritz,Seider,53,,8481542,2001-04-06,DET,78,5,18,23,46
Jake,Walman,96,,8478013,1996-02-20,DET,67,9,8,17,40
Alex,Barré-Boulet,12,,8479718,1997-05-21,TBL,43,6,3,9,31
Anthony,Cirelli,71,,8478519,1997-07-15,TBL,85,10,11,21,46
Michael,Eyssimont,23,,8479591,1996-09-09,TBL,90,7,7,14,46
Luke,Glendening,11,,8476822,1989-04-28,TBL,26,7,1,8,47
Brandon,Hagel,38,,8479542,1998-08-27,TBL,109,13,25,38,47
Tanner,Jeannot,84,,8479661,1997-05-29,TBL,52,6,6,12,41
Nikita,Kucherov,86,,8476453,1993-06-17,TBL,194,28,48,76,46
Waltteri,Merela,39,,8484325,1998-07-06,TBL,17,1,0,1,17
Tyler,Motte,64,,8477353,1995-03-10,TBL,48,4,2,6,37
Nicholas,Paul,20,,8477426,1995-03-20,TBL,96,12,13,25,47
Brayden,Point,21,,8478010,1996-03-13,TBL,128,21,27,48,47
Conor,Sheary,73,,8477839,1992-06-08,TBL,24,1,8,9,29
Steven,Stamkos,91,,8474564,1990-02-07,TBL,133,19,23,42,44
Austin,Watson,51,,8475766,1992-01-13,TBL,14,2,1,3,26
Erik,Cernak,81,,8478416,1997-05-28,TBL,31,0,5,5,39
Maxwell,Crozier,65,,8481719,2000-04-19,TBL,4,0,0,0,4
Calvin,de Haan,44,,8475177,1991-05-09,TBL,46,3,3,6,42
Haydn,Fleury,7,,8477938,1996-07-08,TBL,9,1,3,4,12
Victor,Hedman,77,,8475167,1990-12-18,TBL,97,9,36,45,45
Emil,Martinsen Lilleberg,78,,8482929,2001-02-02,TBL,2,0,1,1,7
Philippe,Myers,5,,8479026,1997-01-25,TBL,6,0,0,0,4
Nick,Perbix,48,,8480246,1998-06-15,TBL,30,1,14,15,45
Darren,Raddysh,43,,8478178,1996-02-28,TBL,58,3,12,15,47
Mikhail,Sergachev,98,,8479410,1998-06-25,TBL,53,2,17,19,33
Jaret,Anderson-Dolan,28,,8479994,1999-09-12,LAK,11,0,3,3,15
Viktor,Arvidsson,33,,8478042,1993-04-08,LAK,228,26,33,59,77
Quinton,Byfield,55,,8482124,2002-08-19,LAK,84,13,18,31,43
Phillip,Danault,24,,8476479,1993-02-24,LAK,88,9,19,28,43
Pierre-Luc,Dubois,80,,8479400,1998-06-24,LAK,80,9,10,19,43
Kevin,Fiala,22,,8477942,1996-07-22,LAK,112,11,28,39,43
Carl,Grundstrom,91,,8479336,1997-12-01,LAK,81,7,4,11,43
Arthur,Kaliyev,34,,8481560,2001-06-26,LAK,79,6,8,14,36
Adrian,Kempe,9,,8477960,1996-09-13,LAK,131,15,24,39,43
Anze,Kopitar,11,,8471685,1987-08-24,LAK,80,14,25,39,43
Alex,Laferriere,78,,8482155,2001-10-28,LAK,84,6,6,12,42
Trevor,Lewis,61,,8473453,1987-01-08,LAK,71,5,3,8,43
Blake,Lizotte,46,,8481481,1997-12-13,LAK,46,5,4,9,34
Trevor,Moore,12,,8479675,1995-03-31,LAK,138,20,12,32,43
Mikey,Anderson,44,,8479998,1999-05-25,LAK,57,1,13,14,43
Brandt,Clarke,92,,8482730,2003-02-09,LAK,3,0,0,0,3
Drew,Doughty,8,,8474563,1989-12-08,LAK,79,10,13,23,43
Andreas,Englund,5,,8477971,1996-01-21,LAK,26,1,6,7,43
Vladislav,Gavrikov,84,,8478882,1995-11-21,LAK,58,3,9,12,38
Jacob,Moverare,43,,8479421,1998-08-31,LAK,5,0,0,0,5
Matt,Roy,3,,8478911,1995-03-01,LAK,85,2,11,13,43
Jordan,Spence,21,,8481606,2001-02-24,LAK,47,0,13,13,39
Luke,Evangelista,77,,8482146,2002-02-21,NSH,84,9,12,21,45
Filip,Forsberg,9,,8476887,1994-08-13,NSH,180,22,27,49,46
Cody,Glass,8,,8479996,1999-04-01,NSH,31,1,1,2,19
Denis,Gurianov,15,,8478495,1997-06-07,NSH,17,1,1,2,7
Michael,McCarron,47,,8477446,1995-03-07,NSH,38,6,5,11,34
Tommy,Novak,82,,8478438,1997-04-28,NSH,56,8,13,21,35
Gustav,Nyquist,14,,8474679,1989-09-01,NSH,92,12,24,36,46
Ryan,O'Reilly,90,,8475158,1991-02-07,NSH,113,17,23,40,46
Juuso,Parssinen,75,,8481704,2001-02-01,NSH,54,8,4,12,44
Kiefer,Sherwood,44,,8480748,1995-03-31,NSH,61,5,6,11,36
Colton,Sissons,10,,8476925,1993-11-05,NSH,81,12,11,23,46
Cole,Smith,36,,8482062,1995-10-28,NSH,64,5,11,16,45
Philip,Tomasino,26,,8481577,2001-07-28,NSH,59,5,12,17,37
